x,mu,sigma,f_exact
0.0,0.9991610307713472,0.0026157923356801057,1.0
0.001001001001001001,0.9991828274987427,0.002590330938575566,0.9999994989983725
0.002002002002002002,0.999203550844129,0.002565087738088173,0.9999979959919839
0.003003003003003003,0.9992231999051171,0.002540062798161075,0.9999954909763163
0.004004004004004004,0.9992417737824724,0.0025152561891446166,0.9999919839438394
0.005005005005005005,0.9992592715790636,0.002490667987811396,0.9999874748840106
0.006006006006006006,0.9992756923994364,0.00246629827749873,0.9999819637832754
0.007007007007007007,0.9992910353502111,0.0024421471478190578,0.999975450625066
0.008008008008008008,0.9993052995404241,0.0024182146946885416,0.9999679353898022
0.009009009009009009,0.999318484080618,0.0023945010200705553,0.9999594180548906
0.01001001001001001,0.9993305880837795,0.0023710062317888045,0.9999498985947244
0.011011011011011011,0.9993416106650272,0.002347730443959233,0.9999393769806825
0.012012012012012012,0.9993515509409576,0.0023246737758871637,0.9999278531811299
0.013013013013013013,0.9993604080310945,0.0023018363526019847,0.9999153271614167
0.014014014014014014,0.9993681810564112,0.002279218304344486,0.9999017988838779
0.015015015015015015,0.9993748691398423,0.002256819766580989,0.9998872683078323
0.016016016016016016,0.9993804714070507,0.002234640879389531,0.9998717353895822
0.017017017017017015,0.9993849869851203,0.0022126817876797125,0.9998552000824132
0.018018018018018018,0.9993884150042334,0.0021909426403037896,0.9998376623365927
0.01901901901901902,0.9993907545952538,0.0021694235905915208,0.9998191220993696
0.02002002002002002,0.9993920048920586,0.0021481247949725487,0.9997995793149735
0.02102102102102102,0.9993921650309971,0.0021270464133888445,0.9997790339246136
0.022022022022022022,0.9993912341490727,0.0021061886089623464,0.9997574858664783
0.023023023023023025,0.999389211387097,0.002085551546785431,0.9997349350757336
0.024024024024024024,0.9993860958867629,0.002065135394408499,0.9997113814845229
0.025025025025025023,0.9993818867927757,0.0020449403208058327,0.999686825021965
0.026026026026026026,0.9993765832514043,0.002024966495796935,0.9996612656141542
0.02702702702702703,0.9993701844106795,0.0020052140902339925,0.9996347031841584
0.028028028028028028,0.9993626894220711,0.0019856832746612766,0.9996071376520178
0.029029029029029027,0.9993540974383563,0.0019663742187688064,0.9995785689347445
0.03003003003003003,0.9993444076141316,0.0019472870912988723,0.9995489969463205
0.031031031031031032,0.9993336191067783,0.0019284220591136085,0.9995184215976968
0.03203203203203203,0.9993217310756108,0.00190977928620946,0.9994868427967919
0.03303303303303303,0.999308742681734,0.001891358933264221,0.9994542604484903
0.03403403403403403,0.9992946530892937,0.0018731611566588353,0.9994206744546413
0.035035035035035036,0.9992794614644254,0.0018551861079568377,0.9993860847140578
0.036036036036036036,0.9992631669740888,0.001837433933028972,0.9993504911225138
0.037037037037037035,0.9992457687892795,0.0018199047706174071,0.9993138935727438
0.03803803803803804,0.9992272660818742,0.0018025987516591525,0.9992762919544408
0.03903903903903904,0.99920765802716,0.0017855159990502376,0.9992376861542545
0.04004004004004004,0.9991869438012202,0.001768656625151285,0.9991980760557899
0.04104104104104104,0.9991651225835767,0.0017520207321128818,0.9991574615396052
0.04204204204204204,0.9991421935548601,0.0017356084102886778,0.9991158424832103
0.043043043043043044,0.9991181558982021,0.001719419736449552,0.9990732187610649
0.044044044044044044,0.9990930088000027,0.0017034547735173167,0.9990295902445765
0.04504504504504504,0.9990667514474865,0.0016877135689290573,0.9989849568020981
0.04604604604604605,0.999039383031203,0.0016721961532701354,0.9989393182989272
0.04704704704704705,0.9990109027430378,0.0016569025392313772,0.9988926745973027
0.04804804804804805,0.9989813097776619,0.0016418327201375548,0.9988450255564035
0.04904904904904905,0.9989506033312807,0.0016269866684663454,0.9987963710323461
0.050050050050050046,0.998918782603738,0.0016123643347401573,0.9987467108781823
0.05105105105105105,0.9988858467954174,0.0015979656456028349,0.9986960449438973
0.05205205205205205,0.9988517951109372,0.001583790502820961,0.9986443730764073
0.05305305305305305,0.9988166267543477,0.0015698387815756636,0.9985916951195568
0.05405405405405406,0.9987803409353262,0.0015561103288602174,0.9985380109141171
0.055055055055055056,0.9987429368626977,0.0015426049622469416,0.9984833202977829
0.056056056056056056,0.9987044137496923,0.0015293224678165293,0.9984276231051704
0.057057057057057055,0.9986647708117857,0.001516262599143352,0.998370919167815
0.058058058058058054,0.9986240072646524,0.0015034250753384452,0.9983132083141679
0.05905905905905906,0.9985821223285143,0.0014908095792144224,0.9982544903695943
0.06006006006006006,0.9985391152250997,0.001478415756599198,0.9981947651563706
0.06106106106106106,0.9984949851773877,0.0014662432138799546,0.9981340324936814
0.062062062062062065,0.9984497314124212,0.0014542915168073978,0.9980722921976167
0.06306306306306306,0.9984033531590626,0.0014425601884076845,0.9980095440811697
0.06406406406406406,0.9983558496475382,0.0014310487083214335,0.9979457879542333
0.06506506506506507,0.9983072201108314,0.0014197565106449461,0.9978810236235975
0.06606606606606606,0.9982574637849666,0.0014086829822813594,0.9978152508929466
0.06706706706706707,0.998206579907503,0.001397827462431598,0.9977484695628561
0.06806806806806806,0.9981545677176769,0.0013871892391692836,0.9976806794307891
0.06906906906906907,0.9981014264596979,0.0013767675508486806,0.997611880291094
0.07007007007007007,0.9980471553764119,0.001366561582737914,0.9975420719350014
0.07107107107107107,0.9979917537161214,0.0013565704658275736,0.99747125415062
0.07207207207207207,0.9979352207282375,0.0013467932765340407,0.9973994267229344
0.07307307307307308,0.9978775556638766,0.0013372290357676557,0.9973265894338009
0.07407407407407407,0.9978187577775657,0.001327876705996342,0.9972527420619451
0.07507507507507508,0.9977588263256507,0.0013187351923969843,0.997177884382958
