n_poly_gp,n_mc,error_mc,error_poly,error_gp
50,250,0.10159265358979308,0.005036109368564912,0.004461963750156173
200,1000,0.1024073464102071,0.001961280143937927,0.0024867240731225593
1000,5000,0.03120734641020695,0.003200241105229651,0.0024867240731225593
