n,pi_hat,error,std
100,2.92,0.2215926535897932,0.1775837830433849
500,3.144,0.002407346410207012,0.07336571406317804
1000,3.244,0.1024073464102071,0.049522358586804
5000,3.1728,0.03120734641020695,0.02291087148058755
10000,3.1484,0.006807346410206971,0.01637430132860636
50000,3.14552,0.003927346410206756,0.007331826415839371
100000,3.14812,0.006527346410206913,0.005178629611779549
500000,3.140496,0.0010966535897929397,0.002323475359879678
