method,pi_hat,error,time
MC,3.140496,0.0010966535897929397,0.023773670196533203
Poly,3.140522474977132,0.0010701786126610102,0.1524488925933838
MLP,3.1511190443941475,0.009526390804354357,8.690320491790771
GP,3.2648645210256575,0.12327186743586438,2.2419943809509277
